model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 A3,2019,23490,Automatic,10380,Petrol,145,41.5,1.5,Audi,18849
 Golf,2014,7649,Automatic,61429,Diesel,20,65.7,1.6,VW,44412
 3 Series,2015,16990,Semi-Auto,46890,Diesel,125,58.9,2.0,BMW,26614
 Golf,2016,18290,Semi-Auto,25667,Diesel,30,62.8,2.0,VW,31550
 5 Series,2019,27840,Semi-Auto,3829,Petrol,145,50.4,2.0,BMW,24024
 X5,2019,47632,Semi-Auto,13156,Diesel,145,37.7,3.0,BMW,43876
 Tiguan,2016,17450,Automatic,28614,Diesel,160,49.6,2.0,VW,11974
 5 Series,2019,26350,Semi-Auto,3753,Diesel,145,65.7,2.0,BMW,42357
 1 Series,2017,11339,Manual,41925,Diesel,0,78.5,1.5,BMW,12511
 Polo,2015,8699,Manual,20068,Petrol,20,60.1,1.0,VW,10805
 Tiguan,2017,25999,Semi-Auto,21329,Diesel,235,44.1,2.0,VW,17613
 Golf,2019,16990,Manual,9461,Petrol,150,47.1,1.5,VW,23202
 Q3,2019,31000,Automatic,4815,Petrol,145,31.7,2.0,Audi,31670
 C Class,2014,15495,Semi-Auto,38544,Diesel,30,64.2,2.1,Mercedes,25842
 E Class,2018,25500,Automatic,11534,Diesel,145,61.4,2.0,Mercedes,28004
 GLC Class,2020,37995,Semi-Auto,9,Petrol,145,33.2,2.0,Mercedes,29617
 Golf,2019,29999,Semi-Auto,5599,Petrol,150,32.8,2.0,VW,45033
 C Class,2019,30980,Semi-Auto,1250,Diesel,145,61.4,2.0,Mercedes,30437
 A Class,2016,15190,Manual,13359,Diesel,20,68.9,1.5,Mercedes,41628
 A Class,2017,16500,Manual,18969,Petrol,145,51.4,1.6,Mercedes,8302
 T-Roc,2019,21599,Manual,5000,Other,145,42.2,1.5,VW,19145
 B Class,2014,9499,Automatic,63878,Diesel,30,60.1,1.8,Mercedes,26024
 A Class,2016,13799,Manual,25776,Diesel,20,72.4,1.5,Mercedes,8174
 A4,2015,13290,Manual,27699,Diesel,20,67.3,2.0,Audi,12524
 Up,2016,7490,Manual,9993,Petrol,20,62.8,1.0,VW,12728
 Q7,2019,40495,Semi-Auto,8391,Diesel,150,33.6,3.0,Audi,43023
 Q7,2020,53792,Automatic,3182,Diesel,145,33.2,3.0,Audi,35423
 A3,2017,11895,Manual,30899,Petrol,145,62.8,1.0,Audi,41815
 CL Class,2013,11460,Manual,64000,Petrol,125,50.4,1.6,Mercedes,9879
 A1,2019,22790,Semi-Auto,547,Petrol,145,44.8,1.5,Audi,4547
 Golf,2016,14989,Manual,47856,Diesel,20,67.3,2.0,VW,17649
 Touran,2017,17000,Manual,18762,Diesel,30,61.4,1.6,VW,42496
 X1,2016,21000,Automatic,13553,Petrol,160,44.8,2.0,BMW,33740
 Touran,2016,14990,Manual,32400,Diesel,30,64.2,1.6,VW,28298
 Polo,2017,13990,Semi-Auto,8119,Petrol,20,60.1,1.2,VW,16976
 E Class,2019,25480,Semi-Auto,5944,Diesel,145,72.4,2.0,Mercedes,29778
 A Class,2017,15981,Semi-Auto,15000,Diesel,150,76.4,1.5,Mercedes,20339
 Up,2015,9000,Automatic,8173,Petrol,20,62.8,1.0,VW,33459
 Polo,2017,9999,Manual,13242,Petrol,150,58.9,1.0,VW,42816
 5 Series,2019,26480,Semi-Auto,8601,Petrol,145,50.4,2.0,BMW,4916
 C Class,2017,19498,Semi-Auto,22424,Diesel,30,60.1,2.1,Mercedes,21587
 Polo,2015,10790,Semi-Auto,20062,Petrol,20,58.9,1.0,VW,25843
 CL Class,2016,17999,Semi-Auto,43726,Diesel,20,67.3,2.1,Mercedes,32376
 GLA Class,2014,16249,Semi-Auto,18086,Diesel,30,62.8,2.1,Mercedes,24201
 5 Series,2019,31460,Automatic,1200,Diesel,145,62.8,2.0,BMW,9851
 A1,2016,11990,Manual,14946,Petrol,30,57.6,1.4,Audi,27188
 3 Series,2010,2995,Manual,101104,Petrol,165,44.8,2.0,BMW,9347
 E Class,2016,17995,Automatic,39980,Diesel,30,65.7,2.0,Mercedes,22525
 Q5,2016,19495,Semi-Auto,53050,Diesel,200,47.1,2.0,Audi,13823
 T-Roc,2018,18200,Manual,16982,Petrol,145,53.3,1.5,VW,31679
 1 Series,2017,13700,Automatic,20574,Diesel,145,70.6,2.0,BMW,12557
 Q3,2017,19790,Manual,16100,Petrol,150,49.6,1.4,Audi,2325
 X1,2017,22999,Automatic,25190,Petrol,145,44.8,2.0,BMW,16864
 Q7,2018,55500,Automatic,11719,Diesel,145,39.2,4.0,Audi,1919
 CL Class,2015,16250,Manual,37000,Petrol,125,50.4,1.6,Mercedes,33013
 X3,2017,18250,Automatic,36204,Diesel,145,54.3,2.0,BMW,8260
 1 Series,2014,10600,Semi-Auto,44900,Diesel,30,64.2,2.0,BMW,28273
 Golf,2017,12995,Manual,10888,Petrol,150,54.3,1.4,VW,42736
 Passat,2017,17950,Semi-Auto,58000,Hybrid,0,166.0,1.4,VW,16690
 A Class,2018,19499,Automatic,10413,Diesel,145,67.3,1.5,Mercedes,8100
 GLE Class,2019,56495,Semi-Auto,917,Petrol,145,29.5,3.0,Mercedes,39331
 A4,2017,15250,Manual,59000,Diesel,30,67.3,2.0,Audi,8956
 X5,2018,37692,Automatic,24786,Diesel,145,47.1,3.0,BMW,26285
 A1,2016,11995,Manual,38502,Petrol,30,57.6,1.4,Audi,15882
 Polo,2015,7290,Manual,43000,Petrol,20,58.9,1.0,VW,28187
 Polo,2019,12999,Manual,8804,Petrol,145,48.7,1.0,VW,25563
 GLC Class,2019,32000,Semi-Auto,3917,Diesel,145,47.9,2.0,Mercedes,6949
 Q3,2015,16975,Automatic,22929,Petrol,200,42.8,2.0,Audi,13565
 C Class,2019,24992,Automatic,8238,Petrol,145,44.1,1.5,Mercedes,3092
 Golf,2019,23999,Manual,10200,Petrol,145,37.2,2.0,VW,2259
 2 Series,2015,8995,Automatic,64888,Diesel,20,68.9,2.0,BMW,35377
 Up,2020,10490,Manual,1300,Petrol,145,54.3,1.0,VW,46582
 C Class,2017,16491,Semi-Auto,32434,Diesel,150,64.2,2.1,Mercedes,36835
 A4,2016,13000,Manual,81190,Diesel,20,68.9,2.0,Audi,11389
 Q3,2019,29999,Semi-Auto,8250,Petrol,145,38.2,1.5,Audi,538
 4 Series,2018,21250,Automatic,14238,Diesel,145,65.7,2.0,BMW,43836
 Scirocco,2018,16725,Manual,27885,Petrol,145,47.1,2.0,VW,25080
 T-Roc,2019,22410,Semi-Auto,5528,Petrol,145,39.8,1.5,VW,25229
 A1,2020,19290,Manual,2216,Petrol,145,47.9,1.0,Audi,5455
 5 Series,2019,31990,Semi-Auto,14585,Hybrid,135,156.9,2.0,BMW,15383
 A5,2016,17695,Automatic,53000,Diesel,145,56.5,2.0,Audi,23348
 Golf,2016,12980,Semi-Auto,20658,Diesel,0,72.4,1.6,VW,11973
 Golf,2019,17680,Manual,5967,Petrol,150,47.1,1.5,VW,21716
 CL Class,2016,18250,Semi-Auto,35025,Diesel,125,58.9,2.1,Mercedes,9560
 A4,2020,29995,Manual,4000,Petrol,145,38.2,2.0,Audi,42508
 Polo,2013,8722,Manual,34153,Petrol,125,53.3,1.2,VW,37998
 A3,2016,8490,Manual,95856,Diesel,0,83.1,1.6,Audi,38984
 CLS Class,2019,36890,Automatic,2500,Diesel,145,45.6,2.0,Mercedes,43868
 Q3,2019,35995,Manual,5356,Diesel,145,40.9,2.0,Audi,10111
 Arteon,2017,19795,Semi-Auto,20545,Petrol,145,47.1,2.0,VW,4147
 2 Series,2016,11300,Automatic,34090,Diesel,20,72.4,1.5,BMW,20835
 Tiguan,2018,24290,Semi-Auto,13727,Diesel,145,45.6,2.0,VW,10720
 A3,2016,14200,Manual,20185,Petrol,20,61.4,1.4,Audi,15963
 1 Series,2016,13500,Automatic,34144,Diesel,20,68.9,1.5,BMW,9448
 4 Series,2018,20499,Automatic,9629,Petrol,145,45.6,2.0,BMW,1687
 Up,2019,9990,Manual,3000,Petrol,145,54.3,1.0,VW,46032
 TT,2016,16289,Manual,22688,Petrol,145,47.1,1.8,Audi,24137
 Polo,2017,12995,Semi-Auto,13525,Petrol,20,60.1,1.2,VW,38567
 Golf,2017,23490,Manual,17790,Petrol,150,35.8,2.0,VW,20469
 Q7,2019,43895,Automatic,12332,Diesel,145,32.8,3.0,Audi,8353
 Q2,2017,24500,Automatic,10681,Petrol,150,44.8,2.0,Audi,6733
 GLC Class,2020,49980,Semi-Auto,3999,Petrol,145,26.4,3.0,Mercedes,29796
 1 Series,2013,8700,Manual,57542,Diesel,30,62.8,2.0,BMW,6962
 A3,2005,1975,Manual,104000,Petrol,240,38.1,2.0,Audi,36922
 3 Series,2020,35158,Semi-Auto,101,Diesel,145,48.7,2.0,BMW,15170
 Golf,2019,17298,Manual,7844,Petrol,145,47.1,1.5,VW,16648
 Tiguan,2018,21750,Automatic,16457,Diesel,150,49.6,2.0,VW,24237
 Tiguan,2020,29500,Semi-Auto,1230,Diesel,145,40.4,2.0,VW,33852
 5 Series,2018,26495,Automatic,23640,Hybrid,135,156.9,2.0,BMW,26521
 3 Series,2019,24898,Semi-Auto,13125,Diesel,145,52.3,2.0,BMW,25703
 C Class,2016,17820,Semi-Auto,30748,Diesel,20,68.9,2.1,Mercedes,36243
 A Class,2018,21998,Semi-Auto,15450,Petrol,150,53.3,1.3,Mercedes,1778
 4 Series,2016,20832,Semi-Auto,12500,Diesel,125,60.1,2.0,BMW,21652
 E Class,2020,45498,Automatic,1000,Diesel,145,42.8,2.9,Mercedes,27121
 Q2,2019,23000,Manual,6500,Diesel,145,49.6,1.6,Audi,16708
 4 Series,2016,15750,Automatic,37484,Diesel,30,65.7,2.0,BMW,20505
 Golf,2016,12799,Automatic,71780,Diesel,30,62.8,2.0,VW,5766
 Golf,2016,11798,Semi-Auto,39126,Petrol,0,65.7,1.0,VW,28521
 CL Class,2018,18995,Automatic,27122,Diesel,145,67.3,2.1,Mercedes,24684
 E Class,2017,19500,Automatic,30918,Diesel,30,65.7,2.0,Mercedes,39545
 Q5,2019,32000,Automatic,6500,Diesel,145,39.2,2.0,Audi,14820
 X1,2017,23680,Semi-Auto,6147,Diesel,145,60.1,2.0,BMW,23677
 Touareg,2019,46450,Automatic,5212,Diesel,145,34.0,3.0,VW,28933
 X2,2019,31800,Semi-Auto,2188,Petrol,150,34.9,2.0,BMW,20009
 A Class,2019,22339,Semi-Auto,4040,Diesel,145,65.7,1.5,Mercedes,15586
 Golf,2020,21498,Semi-Auto,10,Diesel,150,53.3,2.0,VW,43424
 5 Series,2017,18990,Semi-Auto,46796,Diesel,145,62.8,2.0,BMW,43048
 T-Roc,2018,17995,Manual,20961,Petrol,145,55.4,1.0,VW,27433
 TT,2007,5995,Automatic,93392,Petrol,565,29.7,3.2,Audi,22096
 Golf,2017,22495,Semi-Auto,4500,Petrol,145,44.1,2.0,VW,21269
 Golf,2017,17240,Semi-Auto,32822,Diesel,30,62.8,2.0,VW,38387
 3 Series,2014,12795,Semi-Auto,63592,Diesel,125,60.1,2.0,BMW,4179
 X2,2020,30413,Semi-Auto,101,Petrol,145,39.2,2.0,BMW,42349
 Golf,2016,11495,Manual,30281,Diesel,0,74.3,1.6,VW,17424
 4 Series,2016,17999,Manual,11834,Diesel,125,57.6,2.0,BMW,14822
 A4,2017,18998,Manual,32997,Diesel,145,67.3,2.0,Audi,34878
 Golf,2016,11498,Manual,21305,Diesel,0,74.3,1.6,VW,15998
 A5,2013,9995,Semi-Auto,75900,Diesel,125,58.9,2.0,Audi,9786
 Golf,2019,25495,Manual,4849,Petrol,145,37.2,2.0,VW,38336
 GLC Class,2016,25980,Semi-Auto,30404,Diesel,125,56.5,2.1,Mercedes,30425
 A3,2013,11980,Semi-Auto,59386,Petrol,125,50.4,1.8,Audi,2457
 2 Series,2019,20450,Semi-Auto,3422,Diesel,145,65.7,2.0,BMW,6899
 A Class,2018,18995,Automatic,10064,Diesel,145,65.7,1.5,Mercedes,14618
 Polo,2016,9891,Manual,16030,Petrol,20,60.1,1.2,VW,39842
 1 Series,2018,14000,Manual,19995,Petrol,145,37.7,1.5,BMW,30421
 GLA Class,2019,23099,Semi-Auto,13723,Diesel,145,67.3,2.1,Mercedes,3334
 A1,2017,11800,Manual,32596,Petrol,150,57.6,1.4,Audi,1376
 5 Series,2016,15230,Automatic,59058,Diesel,160,51.4,3.0,BMW,10253
 1 Series,2013,7295,Manual,71000,Diesel,30,64.2,2.0,BMW,34668
 E Class,2019,27679,Semi-Auto,8120,Diesel,145,65.7,2.0,Mercedes,7128
 A3,2019,26290,Semi-Auto,3345,Diesel,145,51.4,2.0,Audi,32516
 E Class,2019,24250,Automatic,11210,Diesel,150,72.4,2.0,Mercedes,9215
 Q7,2019,46500,Semi-Auto,18200,Diesel,145,32.8,3.0,Audi,1871
 GLE Class,2019,52900,Semi-Auto,1786,Diesel,145,32.8,3.0,Mercedes,7521
 X3,2015,13999,Manual,51715,Diesel,160,52.3,2.0,BMW,14209
 2 Series,2017,17990,Semi-Auto,8693,Petrol,145,50.4,2.0,BMW,8297
 Polo,2016,10999,Semi-Auto,20856,Petrol,20,60.1,1.2,VW,35740
 Golf,2018,14742,Manual,12112,Petrol,145,49.6,1.0,VW,10789
 3 Series,2016,12490,Manual,32000,Diesel,30,67.3,2.0,BMW,42039
 A Class,2011,3440,Manual,74000,Diesel,150,54.3,2.0,Mercedes,35799
 Tiguan,2018,20750,Semi-Auto,28313,Diesel,150,57.6,2.0,VW,17196
 A Class,2017,17498,Manual,9663,Diesel,30,62.8,2.1,Mercedes,34541
 Q7,2017,53450,Semi-Auto,15328,Diesel,300,39.2,4.0,Audi,1441
 X2,2019,25840,Semi-Auto,105,Diesel,145,50.4,2.0,BMW,33851
 GLA Class,2020,27980,Semi-Auto,16,Petrol,145,35.8,1.6,Mercedes,2307
 Polo,2018,12250,Manual,15463,Petrol,150,52.3,1.0,VW,16212
 3 Series,2017,21988,Automatic,41741,Diesel,150,51.4,3.0,BMW,333
 Golf,2015,17991,Manual,41443,Petrol,200,39.8,2.0,VW,42002
 E Class,2019,24981,Automatic,14857,Diesel,145,72.4,2.0,Mercedes,37989
 Q3,2017,21495,Semi-Auto,18804,Petrol,145,47.9,1.4,Audi,46404
 A5,2013,12490,Automatic,54000,Petrol,160,39.2,2.0,Audi,38527
 E Class,2015,11698,Semi-Auto,67066,Diesel,30,64.2,2.1,Mercedes,31230
 Q7,2019,48266,Automatic,7511,Diesel,145,32.8,3.0,Audi,32351
 Up,2017,7950,Manual,24500,Petrol,145,60.1,1.0,VW,37915
 3 Series,2018,17199,Automatic,13138,Petrol,145,54.3,1.5,BMW,20721
 E Class,2019,28349,Automatic,1450,Petrol,145,39.8,2.0,Mercedes,14513
 C Class,2019,31980,Automatic,1873,Diesel,145,54.3,2.0,Mercedes,19619
 E Class,2019,25499,Semi-Auto,5600,Diesel,145,67.3,2.0,Mercedes,40261
 GLC Class,2016,22650,Automatic,52567,Diesel,125,56.5,2.1,Mercedes,32098
 1 Series,2017,11850,Manual,32285,Diesel,150,68.9,2.0,BMW,12575
 CL Class,2019,26099,Semi-Auto,13187,Diesel,145,51.4,2.2,Mercedes,37132
 3 Series,2019,31995,Automatic,13978,Diesel,145,52.3,2.0,BMW,4671
 X3,2015,17498,Semi-Auto,48867,Diesel,145,54.3,2.0,BMW,23423
 V Class,2019,41730,Automatic,2582,Diesel,145,45.6,2.2,Mercedes,33996
 Golf,2015,10695,Manual,98250,Diesel,20,67.3,2.0,VW,36096
 Golf,2015,7799,Manual,57505,Diesel,0,88.3,1.6,VW,10668
 A4,2019,25250,Automatic,6999,Diesel,145,48.7,2.0,Audi,33784
 4 Series,2018,21990,Semi-Auto,24118,Diesel,150,65.7,2.0,BMW,1949
 1 Series,2015,8290,Manual,35000,Petrol,125,51.4,1.6,BMW,5629
 SL CLASS,2020,39995,Semi-Auto,250,Petrol,145,35.8,2.0,Mercedes,23914
 4 Series,2018,18280,Manual,17024,Petrol,145,46.3,2.0,BMW,40480
 Golf,2019,20995,Semi-Auto,9767,Petrol,145,43.5,1.5,VW,18512
 C Class,2019,23624,Automatic,12951,Diesel,145,61.4,2.0,Mercedes,20741
 T-Roc,2018,17499,Manual,13500,Petrol,150,44.1,1.0,VW,28543
 A5,2019,32000,Manual,2000,Petrol,145,37.2,2.0,Audi,23529
 2 Series,2019,20999,Automatic,37,Petrol,145,47.9,2.0,BMW,598
 Tiguan,2019,23490,Manual,6076,Diesel,145,47.9,2.0,VW,11568
 2 Series,2018,14995,Automatic,13889,Petrol,145,55.4,1.5,BMW,30797
 GLC Class,2019,34099,Semi-Auto,2632,Diesel,150,42.2,2.1,Mercedes,37119
 Polo,2016,8690,Manual,31573,Petrol,20,60.1,1.0,VW,28633
 Golf,2017,11700,Manual,25943,Diesel,145,70.6,1.6,VW,24803
 2 Series,2019,21980,Semi-Auto,8000,Diesel,150,65.7,2.0,BMW,4230
 GLA Class,2018,18995,Manual,21000,Petrol,145,48.7,1.6,Mercedes,19161
 X5,2016,28995,Automatic,46085,Diesel,200,47.1,3.0,BMW,43494
 A Class,2019,22299,Automatic,4554,Diesel,145,62.8,1.5,Mercedes,28976
 A6,2017,20250,Semi-Auto,41272,Diesel,145,61.4,2.0,Audi,23975
 C Class,2017,17599,Semi-Auto,41107,Diesel,30,64.2,2.1,Mercedes,20814
 Golf,2019,27995,Manual,1200,Petrol,145,37.2,2.0,VW,44229
 4 Series,2019,29995,Semi-Auto,11,Diesel,145,65.7,2.0,BMW,9141
 Q3,2015,13390,Manual,49166,Diesel,125,60.1,2.0,Audi,39728
 Golf SV,2020,22995,Semi-Auto,1734,Diesel,150,50.4,1.6,VW,16662
 A6,2018,25250,Semi-Auto,25800,Diesel,145,58.9,2.0,Audi,12178
 T-Roc,2019,18990,Manual,9378,Diesel,145,50.4,1.6,VW,2727
 A Class,2013,9770,Semi-Auto,66484,Petrol,145,50.4,1.6,Mercedes,4743
 C Class,2019,29349,Semi-Auto,4133,Diesel,145,57.7,2.0,Mercedes,7484
 Golf,2014,13600,Manual,31054,Diesel,20,67.3,2.0,VW,26655
 1 Series,2017,13760,Manual,24389,Diesel,145,65.7,2.0,BMW,42504
 A4,2019,36610,Automatic,6995,Diesel,145,44.1,2.0,Audi,40322
 A Class,2019,19599,Automatic,5201,Diesel,145,65.7,1.5,Mercedes,1953
 C Class,2015,12750,Manual,27500,Petrol,125,53.3,2.0,Mercedes,16219
 C Class,2019,24924,Semi-Auto,12907,Diesel,145,61.4,2.0,Mercedes,44853
 A Class,2017,17200,Semi-Auto,48709,Diesel,20,74.3,1.5,Mercedes,16907
 C Class,2016,19799,Manual,16225,Petrol,145,49.6,2.0,Mercedes,44557
 Golf,2016,12780,Semi-Auto,48394,Diesel,0,72.4,1.6,VW,29098
 Golf,2017,13750,Manual,19398,Petrol,30,53.3,1.4,VW,40041
 Up,2020,10990,Manual,1201,Petrol,145,54.3,1.0,VW,22188
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,Mercedes,1249
 Touran,2017,22342,Semi-Auto,18545,Petrol,150,51.4,1.4,VW,2974
 A3,2018,19790,Manual,20900,Petrol,145,54.3,1.5,Audi,8134
 1 Series,2018,19840,Semi-Auto,32151,Diesel,145,61.4,2.0,BMW,43212
 Sharan,2019,23676,Manual,15141,Diesel,145,43.5,2.0,VW,23353
 C Class,2017,13587,Semi-Auto,61305,Diesel,150,65.7,1.6,Mercedes,29066
 B Class,2016,11499,Manual,19590,Diesel,20,70.6,1.5,Mercedes,19740
 X1,2017,19498,Semi-Auto,18798,Diesel,145,55.4,2.0,BMW,2899
 Golf,2015,7140,Manual,80300,Diesel,0,74.3,1.6,VW,3260
 A Class,2017,15285,Automatic,14156,Diesel,145,74.3,2.1,Mercedes,37940
 2 Series,2017,13000,Semi-Auto,34971,Diesel,150,72.4,1.5,BMW,14060
 E Class,2017,18660,Semi-Auto,30007,Diesel,145,72.4,2.0,Mercedes,30194
 X3,2019,33990,Semi-Auto,3440,Diesel,150,54.3,2.0,BMW,19948
 CLS Class,2017,17495,Semi-Auto,65700,Diesel,125,57.7,2.1,Mercedes,26306
 B Class,2019,23899,Automatic,1000,Diesel,145,55.4,2.0,Mercedes,7774
 A4,2016,10695,Manual,97150,Diesel,20,72.4,2.0,Audi,2039
 Q5,2019,36500,Semi-Auto,10628,Diesel,145,38.2,2.0,Audi,5202
 C Class,2017,19490,Semi-Auto,31326,Diesel,125,60.1,2.1,Mercedes,35402
 C Class,2016,16750,Automatic,24909,Diesel,30,64.2,1.6,Mercedes,25480
 A Class,2017,16490,Semi-Auto,41445,Diesel,20,74.3,1.5,Mercedes,35159
 C Class,2017,23749,Semi-Auto,12000,Diesel,145,61.4,2.1,Mercedes,10294
 Golf SV,2017,11990,Manual,28656,Petrol,150,55.4,1.4,VW,44666
 A1,2016,15199,Manual,42991,Petrol,235,39.8,2.0,Audi,33009
 Polo,2016,8698,Manual,33098,Petrol,20,60.1,1.0,VW,9672
 Q3,2017,19460,Semi-Auto,18254,Petrol,145,47.9,1.4,Audi,9621
 C Class,2018,24890,Semi-Auto,7859,Petrol,145,40.4,2.0,Mercedes,7566
 Q7,2017,32995,Semi-Auto,31100,Diesel,150,47.9,3.0,Audi,44056
 Polo,2013,7500,Manual,44437,Petrol,125,51.4,1.2,VW,5386
 Q2,2019,23490,Automatic,3953,Diesel,145,46.3,1.6,Audi,24195
 Golf,2014,8407,Manual,45999,Diesel,0,68.9,1.6,VW,2566
 Golf,2020,34480,Semi-Auto,1500,Petrol,145,36.2,2.0,VW,41641
 A4,2016,15649,Manual,38066,Diesel,20,70.6,2.0,Audi,57
 C Class,2014,14200,Manual,31543,Diesel,20,68.9,2.1,Mercedes,25475
 Q3,2016,15499,Automatic,52521,Diesel,145,54.3,2.0,Audi,41444
 C Class,2018,20690,Semi-Auto,15750,Petrol,145,48.7,2.0,Mercedes,39472
 X5,2019,61682,Semi-Auto,10782,Diesel,145,33.6,3.0,BMW,29115
 SL CLASS,2019,30799,Semi-Auto,314,Petrol,145,47.9,2.0,Mercedes,30495
 C Class,2014,14990,Semi-Auto,57499,Diesel,125,60.1,2.1,Mercedes,16668
 A3,2019,17420,Manual,8624,Petrol,145,48.7,1.0,Audi,38668
 Polo,2015,9491,Manual,25910,Petrol,20,60.1,1.2,VW,35510
 Q2,2019,20985,Automatic,3422,Diesel,145,47.9,1.6,Audi,8200
 A4,2016,13499,Manual,54327,Diesel,20,70.6,2.0,Audi,20568
 Tiguan,2017,16425,Automatic,36851,Diesel,145,57.6,2.0,VW,6322
 Golf,2018,14491,Manual,17080,Petrol,145,58.9,1.5,VW,11187
 C Class,2016,13500,Automatic,93620,Diesel,30,62.8,2.1,Mercedes,34377
 A4,2014,11798,Manual,51529,Diesel,30,62.8,2.0,Audi,1070
 Golf,2017,11500,Manual,22672,Diesel,0,74.3,1.6,VW,11106
 Sharan,2016,19290,Semi-Auto,27515,Diesel,145,54.3,2.0,VW,10793
 A Class,2015,14000,Automatic,26956,Diesel,20,68.9,2.1,Mercedes,26779
 C Class,2019,48990,Semi-Auto,800,Petrol,145,29.1,3.0,Mercedes,26350
 Up,2015,5885,Manual,42381,Petrol,20,62.8,1.0,VW,2589
 Q2,2019,28750,Semi-Auto,4502,Diesel,145,44.8,2.0,Audi,38745
 A3,2016,20990,Semi-Auto,60270,Petrol,160,44.1,2.0,Audi,1347
 Up,2019,9990,Manual,3000,Petrol,145,54.3,1.0,VW,16429
 3 Series,2019,28220,Automatic,1500,Diesel,145,48.7,2.0,BMW,10449
 A Class,2017,16392,Manual,18969,Diesel,145,68.9,1.5,Mercedes,42408
 Tiguan,2018,20350,Manual,11357,Petrol,145,38.2,1.5,VW,9774
 GLC Class,2020,46481,Semi-Auto,4000,Diesel,145,40.9,2.0,Mercedes,15429
 Tiguan,2019,30295,Manual,10,Diesel,145,47.9,2.0,VW,1907
 Golf,2016,20498,Semi-Auto,18774,Petrol,205,39.8,2.0,VW,43146
 Polo,2018,12495,Manual,19000,Petrol,145,64.2,1.0,VW,44810
 5 Series,1996,5995,Automatic,36000,Petrol,270,26.4,2.8,BMW,27465
 4 Series,2015,13495,Automatic,68787,Diesel,30,65.7,2.0,BMW,19523
 GLC Class,2017,22498,Semi-Auto,30028,Diesel,145,56.5,2.1,Mercedes,42692
 3 Series,2013,10850,Automatic,73271,Diesel,145,55.4,3.0,BMW,1462
 Golf,2020,26750,Semi-Auto,2999,Hybrid,150,44.8,1.5,VW,16921
 Golf,2016,10290,Manual,46659,Diesel,0,72.4,1.6,VW,20054
 Golf,2019,29000,Semi-Auto,100,Petrol,150,32.8,2.0,VW,45968
 4 Series,2016,16380,Automatic,39563,Diesel,30,65.7,2.0,BMW,8245
 Golf SV,2019,17950,Manual,100,Petrol,145,0.3,1.0,VW,37389
 Golf,2017,12998,Manual,12459,Petrol,150,54.3,1.4,VW,25017
 Q2,2018,24950,Automatic,13145,Petrol,145,52.3,1.4,Audi,4178
 1 Series,2019,29950,Semi-Auto,10,Diesel,145,48.7,2.0,BMW,15206
 5 Series,2020,29990,Semi-Auto,10,Petrol,145,50.4,2.0,BMW,12552
 Golf,2016,11495,Manual,32233,Petrol,30,53.3,1.4,VW,139
 X1,2019,24950,Automatic,7032,Diesel,145,60.1,2.0,BMW,14819
 A1,2018,14000,Manual,20521,Petrol,150,47.9,1.0,Audi,20633
 Polo,2016,9450,Manual,15405,Petrol,20,60.1,1.0,VW,1787
 1 Series,2020,30440,Semi-Auto,1500,Petrol,145,34.5,2.0,BMW,40038
 4 Series,2019,26950,Semi-Auto,4842,Diesel,145,60.1,2.0,BMW,37024
 Golf,2019,12999,Manual,9029,Petrol,145,49.6,1.0,VW,28861
 Golf,2020,25491,Semi-Auto,2000,Diesel,145,52.3,2.0,VW,35769
 Polo,2016,8337,Manual,32688,Petrol,20,60.1,1.2,VW,7170
 T-Roc,2019,36799,Automatic,3028,Petrol,145,32.5,2.0,VW,31096
 Golf,2020,32500,Semi-Auto,6500,Petrol,145,36.2,2.0,VW,16664
 C Class,2019,32495,Automatic,4999,Diesel,145,51.4,2.0,Mercedes,22214
 GLC Class,2020,42995,Automatic,20,Diesel,145,43.5,2.0,Mercedes,13961
 1 Series,2016,15998,Semi-Auto,21914,Diesel,30,65.7,2.0,BMW,43189
 1 Series,2016,10985,Manual,37500,Diesel,20,72.4,1.5,BMW,12015
 Passat,2017,16995,Manual,27437,Diesel,145,68.9,2.0,VW,7405
 A4,2015,10999,Manual,73946,Diesel,20,68.9,2.0,Audi,22210
 5 Series,2016,14200,Automatic,55573,Diesel,30,62.8,2.0,BMW,8057
 4 Series,2018,22000,Semi-Auto,10948,Diesel,145,60.1,2.0,BMW,31472
 Golf,2018,14995,Manual,28619,Diesel,150,57.7,1.6,VW,4033
 E Class,2014,11495,Semi-Auto,40019,Diesel,30,58.9,2.1,Mercedes,32379
 3 Series,2020,26490,Semi-Auto,14,Diesel,150,60.1,2.0,BMW,14139
 A Class,2018,18691,Semi-Auto,12043,Diesel,145,65.7,1.5,Mercedes,38274
 X5,2019,47123,Semi-Auto,8442,Diesel,145,37.7,3.0,BMW,13516
 Passat,2016,11290,Semi-Auto,48020,Diesel,30,62.8,2.0,VW,45064
 Q5,2020,37444,Semi-Auto,1500,Diesel,145,38.2,2.0,Audi,2743
 Q2,2018,21755,Semi-Auto,5485,Diesel,145,58.9,2.0,Audi,10320
 3 Series,2013,10500,Manual,68000,Diesel,30,61.4,2.0,BMW,16982
 3 Series,2016,13042,Automatic,53760,Diesel,20,70.6,2.0,BMW,3964
 1 Series,2013,15991,Semi-Auto,50039,Petrol,235,37.7,3.0,BMW,9748
